Actor1,Genre1,Director,Average
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
Rebecca Hall,Drama,Woody Allen,No
Reese Witherspoon,Drama,Francis Lawrence,No
Angelina Jolie,Drama,Douglas McGrath,No
Angelina Jolie,Action,Timur Bekmambetov,Yes
Angelina Jolie,Action,Phillip Noyce,Yes
Johnny Depp,Adventure,Tim Burton,Yes
Christian Bale,Drama,Mary Harron,No
Leonardo DiCaprio,Biography,Martin Scorsese,Yes
Robin Wright,Animation,Robert Zemeckis,Yes
Johnny Depp,Biography,Ted Demme,No
Heath Ledger,Drama,Ang Lee,Yes
Heath Ledger,Adventure,Tim Burton,Yes
Heath Ledger,Drama,David Fincher,Yes
Jamie Foxx,Drama,Quentin Tarantino,No
Kurt Russell,Action,Anne Fletcher,No
Kurt Russell,Action,Ridley Scott,No
Kurt Russell,Crime,Martin Scorsese,No
Johnny Depp,Action,Robert Rodriguez,Yes
Morgan Lily,Comedy,Ken Kwapis,No
Bo Svenson,Action,Enzo G. Castellari,Yes
Meryl Streep,Biography,Nora Ephron,Yes
Uma Thurman,Action,Quentin Tarantino,Yes
Brad Pitt,Crime,Andrew Dominik,No
Angelina Jolie,Action,Simon West,Yes
Hugh Jackman,Drama,Tom Hooper,Yes
Kurt Russell,Comedy,Edward Zwick,Yes
Scarlett Johansson,Action,Luc Besson,Yes
Christian Bale,Drama,Brad Anderson,Yes
Angelina Jolie,Action,Robert Stromberg,Yes
Amanda Seyfried,Comedy,Phyllida Lloyd,Yes
Robert Downey Jr.,Action,Joss Whedon,Yes
Reese Witherspoon,Animation,Rob Letterman,No
Reese Witherspoon,Short,Doug Liman,No
George Clooney,Crime,Steven Soderbergh,No
Hugh Jackman,Drama,Christopher Nolan,No
Hugh Jackman,Comedy,Garry Marshall,Yes
Hugh Jackman,Comedy,Mike Newell,Yes
Hugh Jackman,Biography,Sarah Gavron,Yes
Reese Witherspoon,Comedy,Andy Tennant,Yes
Angelina Jolie,Crime,D.J. Caruso,Yes
Christian Bale,Action,Christopher Nolan,Yes
Christian Bale,Action,Christopher Nolan,Yes
Meryl Streep,Comedy,David Frankel,Yes
Meryl Streep,Biography,Phyllida Lloyd,Yes
Judy Davis,Comedy,Woody Allen,No
Johnny Depp,Action,Florian Henckel von Donnersmarck,No
Julian Glover,Adventure,Wolfgang Petersen,No
Kristen Stewart,Drama,Catherine Hardwicke,No
